148.60,59.58,163.52,68.68,144.69,71.31,140.78,106.38,138.17,80.36,183.63,64.79,190.12,101.17,156.38,114.81,153.75,122.61,142.75,119.36,95.33,110.91,111.54,138.18,164.81,126.50,110.90,149.22,109.61,204.42,143.37,56.36,1.00
143.38,64.76,163.52,70.01,147.94,76.49,138.82,108.32,138.83,81.70,179.74,64.15,188.82,101.19,154.42,115.46,152.46,124.56,142.72,121.93,94.03,111.58,111.55,141.44,162.20,127.81,111.54,144.05,110.26,205.07,138.18,62.20,1.00
143.40,64.76,163.49,69.96,147.92,75.18,138.83,108.95,138.83,81.03,179.11,64.77,185.61,100.50,153.80,115.44,151.18,124.54,142.08,121.93,94.66,112.19,111.56,140.79,160.92,127.80,111.56,144.03,110.24,205.07,138.21,62.84,1.00
132.98,54.38,157.67,69.32,142.72,70.00,135.59,110.25,121.93,92.71,172.60,66.75,171.96,102.48,141.43,101.82,152.46,123.90,140.78,121.96,96.62,137.53,98.56,186.26,163.51,127.13,117.38,149.89,117.41,213.52,129.74,49.84,1.00
137.56,49.83,161.56,65.43,147.27,65.43,143.37,94.01,127.83,111.57,176.49,65.42,194.70,101.82,164.14,122.62,151.18,119.35,141.43,116.74,96.64,136.89,93.38,188.19,160.91,122.60,116.10,148.56,116.73,210.91,135.60,44.67,1.00
168.72,39.50,183.64,69.32,166.76,68.68,158.31,99.86,133.65,103.76,200.53,69.34,210.93,108.32,195.32,142.07,147.94,121.94,139.48,116.74,90.13,112.84,104.41,144.03,157.67,127.15,102.48,147.93,86.25,208.33,168.67,38.15,1.00
160.92,44.65,178.45,70.00,163.50,70.64,144.69,99.23,126.50,119.35,194.66,69.35,183.63,106.34,145.98,114.81,152.47,123.90,142.75,119.99,90.76,112.87,103.76,147.27,161.56,127.81,101.83,148.58,86.25,208.98,159.00,42.07,1.00
163.49,44.67,177.79,70.00,162.84,71.28,144.04,100.50,125.85,120.64,194.02,68.04,184.28,103.76,145.98,115.45,150.53,124.56,142.72,120.65,90.13,112.24,103.12,142.07,158.97,129.08,105.07,148.57,86.24,209.60,158.94,44.01,1.00
161.56,49.83,177.80,70.01,162.87,71.29,144.68,99.86,126.49,120.00,194.02,69.32,182.99,106.38,145.98,115.44,151.82,124.55,142.74,120.64,90.14,112.85,105.06,147.28,159.63,128.45,105.06,145.34,86.24,208.98,157.03,49.19,1.00
164.14,45.32,175.21,70.00,159.63,70.67,144.03,99.85,129.10,118.70,192.74,69.32,184.28,105.72,147.90,116.73,151.82,123.91,142.08,120.00,90.77,118.70,73.89,175.20,161.55,128.44,103.11,152.46,87.53,210.27,159.01,44.01,1.00
